name,value
DeviceType_Board,7
Enabled_Board,True
Name_Board,On Board Device
Tag_Board,On Board Device 1
Caption_MoBo,Base Board
CreationClassName_MoBo,Win32_BaseBoard
Description_MoBo,Base Board
HostingBoard_MoBo,True
HotSwappable_MoBo,False
Manufacturer_MoBo,LENOVO
Name_MoBo,Base Board
PoweredOn_MoBo,True
Product_MoBo,Lenovo ideapad 700-15ISK
Removable_MoBo,False
Replaceable_MoBo,True
RequiresDaughterBoard_MoBo,False
SerialNumber_MoBo,R90LX3DJ
Status_MoBo,OK
Tag_MoBo,Base Board
Version_MoBo,SDK0J40709 WIN
BootDevice_OS,\Device\HarddiskVolume1
BuildNumber_OS,14393
BuildType_OS,Multiprocessor Free
Caption_OS,þþMicrosoft Windows 10 Pro
CodeSet_OS,1255
CountryCode_OS,972
CreationClassName_OS,Win32_OperatingSystem
CSCreationClassName_OS,Win32_ComputerSystem
CSName_OS,BARUCH-LENOVO
CurrentTimeZone_OS,120
DataExecutionPrevention_32BitApplications_OS,True
DataExecutionPrevention_Available_OS,True
DataExecutionPrevention_Drivers_OS,True
DataExecutionPrevention_SupportPolicy_OS,2
Debug_OS,False
Description_OS,
Distributed_OS,False
EncryptionLevel_OS,256
ForegroundApplicationBoost_OS,2
FreePhysicalMemory_OS,4193848
FreeSpaceInPagingFiles_OS,1287824
FreeVirtualMemory_OS,5011192
InstallDate_OS,20170102145240.000000+120
LastBootUpTime_OS,20170220171240.489841+120
LocalDateTime_OS,20170221190711.249000+120
Locale_OS,040d
Manufacturer_OS,Microsoft Corporation
MaxNumberOfProcesses_OS,-1
MaxProcessMemorySize_OS,137438953344
MUILanguages_OS,he-IL
Name_OS,þþMicrosoft Windows 10 Pro|C:\Windows|\Device\Harddisk0\Partition2
NumberOfProcesses_OS,109
NumberOfUsers_OS,2
OperatingSystemSKU_OS,48
Organization_OS,
OSArchitecture_OS,64-bit
OSLanguage_OS,1037
OSProductSuite_OS,256
OSType_OS,18
PortableOperatingSystem_OS,False
Primary_OS,True
ProductType_OS,1
RegisteredUser_OS,þþîùúîù Windows
SerialNumber_OS,00330-80000-00000-AA686
ServicePackMajorVersion_OS,0
ServicePackMinorVersion_OS,0
SizeStoredInPagingFiles_OS,1310720
Status_OS,OK
